id,price,total_sqft,site_location,size,availability
4157,55,571,Alandi Road,2,1
4352,56,950,Alandi Road,2,0
4521,57,324,Alandi Road,1,0
4593,58,900,Alandi Road,2,1
4750,59,450,Alandi Road,1,0
5060,60,788,Alandi Road,2,1
5295,62,1180,Alandi Road,2,1
5387,63,1444,Alandi Road,2,0
5508,65,1005,Alandi Road,2,1
5661,65,895,Alandi Road,2,1
5986,67.4,966,Alandi Road,2,0
6031,68,1600,Alandi Road,3,0
6073,68,550,Alandi Road,1,0
6206,69,766,Alandi Road,1,1
160,20,735,Ambegaon Budruk,1,0
192,22,420,Ambegaon Budruk,1,1
285,25,700,Ambegaon Budruk,2,0
328,25.88,650,Ambegaon Budruk,1,0
570,30,1175,Ambegaon Budruk,2,0
752,33,1256,Ambegaon Budruk,2,0
848,34,650,Ambegaon Budruk,1,0
965,35,1000,Ambegaon Budruk,2,0
993,35,750,Ambegaon Budruk,1,0
1044,35.23,1000,Ambegaon Budruk,2,1
1086,36,3465,Ambegaon Budruk,4,1
1151,36.5,595,Ambegaon Budruk,1,0
1419,39,1286,Ambegaon Budruk,2,0
1484,39.5,695,Ambegaon Budruk,1,0
1583,40,2394,Ambegaon Budruk,4,1
1819,41.1,2730,Ambegaon Budruk,4,0
1841,41.51,1570,Ambegaon Budruk,3,1
2130,43.55,1502,Ambegaon Budruk,3,1
2263,44.5,1010,Ambegaon Budruk,2,1
2315,45,1066,Ambegaon Budruk,2,1
2382,45,870,Ambegaon Budruk,2,0
2478,45,950,Ambegaon Budruk,2,0
2496,45,365,Ambegaon Budruk,1,0
2525,45.12,1600,Ambegaon Budruk,3,1
2530,45.19,725,Ambegaon Budruk,1,0
2579,45.91,610,Ambegaon Budruk,1,0
2582,45.99,585,Ambegaon Budruk,1,0
2766,47,646,Ambegaon Budruk,3,1
3003,48,450,Ambegaon Budruk,1,0
3027,48.42,650,Ambegaon Budruk,1,0
3100,49,350,Ambegaon Budruk,1,0
3101,49,380,Ambegaon Budruk,1,0
3112,49,335,Ambegaon Budruk,1,0
3255,50,1150,Ambegaon Budruk,2,0
3273,50,941,Ambegaon Budruk,2,1
3309,50,750,Ambegaon Budruk,2,0
3364,50,450,Ambegaon Budruk,1,0
3390,50,1650,Ambegaon Budruk,3,0
3429,50,425,Ambegaon Budruk,1,1
3611,52,1300,Ambegaon Budruk,3,0
3621,52,850,Ambegaon Budruk,2,0
3717,52.5,837,Ambegaon Budruk,2,1
3806,53,1900,Ambegaon Budruk,3,0
3835,53.51,1900,Ambegaon Budruk,3,0
3875,54,570,Ambegaon Budruk,1,1
3997,55,1509,Ambegaon Budruk,3,1
4156,55,783,Ambegaon Budruk,3,1
4195,55,1050,Ambegaon Budruk,2,0
4531,57,980,Ambegaon Budruk,2,1
4623,58,762,Ambegaon Budruk,2,1
4668,58,560,Ambegaon Budruk,1,0
4702,58,934,Ambegaon Budruk,2,1
4882,60,760,Ambegaon Budruk,1,0
5013,60,1630,Ambegaon Budruk,4,1
5020,60,600,Ambegaon Budruk,1,0
5050,60,426,Ambegaon Budruk,1,1
5081,60,1290,Ambegaon Budruk,1,0
5094,60,1850,Ambegaon Budruk,3,1
5164,61,1655,Ambegaon Budruk,3,0
5261,62,500,Ambegaon Budruk,1,0
5600,65,1350,Ambegaon Budruk,3,0
5641,65,600,Ambegaon Budruk,1,0
5707,65,560,Ambegaon Budruk,1,1
5933,67,550,Ambegaon Budruk,1,0
6013,68,1350,Ambegaon Budruk,3,0
6047,68,560,Ambegaon Budruk,1,0
6,10,1550,Anandnagar,3,0
110,18,1550,Anandnagar,3,0
205,22,1450,Anandnagar,3,1
236,24,310,Anandnagar,1,0
316,25.4,1650,Anandnagar,3,0
333,25.99,560,Anandnagar,1,0
460,28.57,1750,Anandnagar,3,1
592,30.46,950,Anandnagar,2,0
654,32,900,Anandnagar,2,1
714,32.49,484,Anandnagar,1,0
863,34,1472,Anandnagar,3,0
962,35,2000,Anandnagar,6,0
1048,35.27,1835,Anandnagar,3,0
1128,36,2415,Anandnagar,4,1
1232,37.49,680,Anandnagar,1,0
1279,38,1252,Anandnagar,2,1
1291,38,600,Anandnagar,2,0
1441,39,724,Anandnagar,2,1
1591,40,2305,Anandnagar,4,0
1609,40,784,Anandnagar,3,0
1771,41,999,Anandnagar,2,0
1797,41,698,Anandnagar,1,0
1822,41.15,1850,Anandnagar,3,0
1889,42,1100,Anandnagar,2,0
1896,42,585,Anandnagar,1,0
1995,42.5,220,Anandnagar,1,0
2522,45,225,Anandnagar,1,0
2564,45.84,1050,Anandnagar,2,1
2601,46,650,Anandnagar,1,0
2602,46,735,Anandnagar,1,0
2663,46,1540,Anandnagar,3,1
3087,49,1185,Anandnagar,3,1
3428,50,700,Anandnagar,1,0
3434,50.17,700,Anandnagar,1,0
3523,51.25,1250,Anandnagar,2,1
3564,52,978,Anandnagar,2,0
3581,52,345,Anandnagar,1,0
3693,52.33,609,Anandnagar,1,1
3707,52.5,970,Anandnagar,2,0
3719,52.58,513,Anandnagar,1,0
3828,53.5,1017,Anandnagar,3,1
4181,55,500,Anandnagar,1,0
4200,55,850,Anandnagar,1,0
4310,56,595,Anandnagar,1,0
4320,56,660,Anandnagar,1,0
4377,56,580,Anandnagar,1,0
4405,56,650,Anandnagar,1,0
4434,56.5,650,Anandnagar,1,0
4602,58,848,Anandnagar,2,1
4895,60,800,Anandnagar,2,0
4941,60,900,Anandnagar,2,0
4978,60,620,Anandnagar,1,1
5189,61.5,985,Anandnagar,2,0
5289,62,1500,Anandnagar,3,0
5392,63,777,Anandnagar,2,0
5496,65,1240,Anandnagar,2,1
5525,65,1820,Anandnagar,3,0
5564,65,613,Anandnagar,2,1
5597,65,1450,Anandnagar,2,0
5837,66,1238,Anandnagar,2,1
6280,70,550,Anandnagar,1,0
87,16.5,1050,Aundh,2,0
121,18,650,Aundh,1,0
191,22,1200,Aundh,2,1
420,28,1770,Aundh,3,0
480,29,665,Aundh,1,1
549,30,950,Aundh,2,0
632,31.48,783,Aundh,2,0
893,34.71,500,Aundh,1,0
904,34.98,1015,Aundh,2,0
939,35,806,Aundh,2,0
1092,36,1950,Aundh,3,1
1299,38,1015,Aundh,2,1
1546,40,1047,Aundh,2,1
1676,40,1125,Aundh,2,0
1689,40.08,1139,Aundh,2,0
1798,41,1000,Aundh,2,0
2019,42.7,1600,Aundh,3,0
2037,42.83,590,Aundh,1,1
2063,43,650,Aundh,1,0
2178,44,700,Aundh,1,0
2255,44.41,531,Aundh,1,0
2379,45,667,Aundh,1,1
2422,45,750,Aundh,1,0
2486,45,800,Aundh,2,1
2804,47,1100,Aundh,2,0
2953,48,350,Aundh,1,0
3136,49.11,654,Aundh,2,1
3328,50,1250,Aundh,1,0
3377,50,560,Aundh,1,0
3547,51.77,984,Aundh,2,1
3660,52,1140,Aundh,2,1
3687,52.23,820,Aundh,2,1
3820,53.35,826,Aundh,2,1
3867,54,1150,Aundh,2,0
3879,54,700,Aundh,1,0
3937,54.3,390,Aundh,1,0
4148,55,600,Aundh,1,0
4180,55,750,Aundh,1,0
4204,55,750,Aundh,1,0
4401,56,2200,Aundh,4,1
4504,57,585,Aundh,1,0
4971,60,830,Aundh,2,1
5747,65,500,Aundh,1,0
5780,65,650,Aundh,1,0
5804,65.31,808,Aundh,2,1
5961,67,555,Aundh,1,0
6087,68,735,Aundh,1,0
6132,68.5,2050,Aundh,4,0
62,15.5,1645,Aundh Road,3,0
86,16.5,1680,Aundh Road,3,0
619,31.05,820,Aundh Road,2,0
664,32,576,Aundh Road,1,0
699,32,1680,Aundh Road,3,1
801,33.34,3638,Aundh Road,4,0
938,35,610,Aundh Road,1,0
1036,35.14,400,Aundh Road,1,0
1078,36,1235,Aundh Road,2,0
1134,36.21,850,Aundh Road,2,0
1177,37,1091,Aundh Road,2,0
1182,37,1180,Aundh Road,2,0
1238,37.5,2150,Aundh Road,3,0
1247,37.77,5150,Aundh Road,3,1
1290,38,670,Aundh Road,1,0
1355,38.33,400,Aundh Road,1,0
1474,39.35,585,Aundh Road,1,0
1529,40,1050,Aundh Road,2,0
1537,40,685,Aundh Road,1,1
1641,40,1600,Aundh Road,3,0
1723,40.45,1503,Aundh Road,3,0
1763,41,1075,Aundh Road,2,0
1925,42,1900,Aundh Road,3,1
1957,42,480,Aundh Road,1,0
2281,44.95,1500,Aundh Road,2,0
2292,45,1100,Aundh Road,3,0
2344,45,1040,Aundh Road,2,1
2360,45,1100,Aundh Road,2,1
2395,45,750,Aundh Road,2,1
2485,45,919,Aundh Road,2,1
2643,46,1600,Aundh Road,3,0
2675,46,800,Aundh Road,2,0
2740,46.55,1020,Aundh Road,2,0
2811,47,352,Aundh Road,1,1
3135,49.11,1250,Aundh Road,2,0
3197,50,2525,Aundh Road,4,0
3289,50,2519,Aundh Road,4,1
3378,50,1290,Aundh Road,2,0
3492,51,863,Aundh Road,3,1
3502,51,1600,Aundh Road,3,0
3505,51,632,Aundh Road,1,1
3570,52,1390,Aundh Road,3,1
3578,52,985,Aundh Road,2,1
3801,53,600,Aundh Road,1,0
3886,54,640,Aundh Road,1,0
3932,54.2,1240,Aundh Road,2,0
4075,55,670,Aundh Road,1,0
4219,55,369,Aundh Road,1,1
4379,56,1050,Aundh Road,2,1
4445,56.58,1600,Aundh Road,3,1
4467,57,700,Aundh Road,1,0
4589,58,555,Aundh Road,1,1
4639,58,580,Aundh Road,1,0
4699,58,750,Aundh Road,1,0
4751,59,450,Aundh Road,1,0
4825,59.52,825,Aundh Road,2,1
4871,60,685,Aundh Road,1,0
4897,60,2419,Aundh Road,4,0
4952,60,835,Aundh Road,1,1
5206,62,933,Aundh Road,2,1
5341,63,1550,Aundh Road,3,0
5562,65,450,Aundh Road,1,0
5631,65,910,Aundh Road,2,1
5691,65,620,Aundh Road,1,1
5786,65,390,Aundh Road,1,1
5829,66,310,Aundh Road,1,0
5830,66,1335,Aundh Road,2,0
5977,67.3,650,Aundh Road,1,0
6022,68,1750,Aundh Road,3,0
6029,68,575,Aundh Road,1,0
6044,68,325,Aundh Road,1,0
6071,68,1120,Aundh Road,2,0
6116,68,590,Aundh Road,1,0
6192,69,450,Aundh Road,1,0
6257,70,595,Aundh Road,1,0
6294,70,575,Aundh Road,1,0
103,17,650,Balaji Nagar,1,0
183,21,670,Balaji Nagar,1,0
193,22,540,Balaji Nagar,1,0
220,23,1056,Balaji Nagar,2,0
233,23.5,1250,Balaji Nagar,2,0
502,29.46,1010,Balaji Nagar,2,1
582,30.27,1550,Balaji Nagar,3,0
783,33,1300,Balaji Nagar,3,0
855,34,911,Balaji Nagar,2,0
873,34.27,1000,Balaji Nagar,2,0
899,34.82,1000,Balaji Nagar,2,0
991,35,2195,Balaji Nagar,3,1
1003,35,885,Balaji Nagar,2,0
1038,35.22,800,Balaji Nagar,2,1
1068,36,3000,Balaji Nagar,4,0
1146,36.44,1183,Balaji Nagar,2,1
1284,38,2320,Balaji Nagar,5,0
1328,38,745,Balaji Nagar,1,0
1594,40,1800,Balaji Nagar,3,0
1701,40.31,482,Balaji Nagar,1,0
1805,41,700,Balaji Nagar,1,0
1858,42,950,Balaji Nagar,2,0
1867,42,1565,Balaji Nagar,3,0
1910,42,405,Balaji Nagar,1,0
2234,44,1630,Balaji Nagar,3,1
2790,47,580,Balaji Nagar,2,1
3053,48.7,1224,Balaji Nagar,3,1
3059,48.75,950,Balaji Nagar,2,0
3160,49.5,1800,Balaji Nagar,3,0
3397,50,650,Balaji Nagar,1,0
3450,50.6,700,Balaji Nagar,1,0
3614,52,1135,Balaji Nagar,2,0
3625,52,2400,Balaji Nagar,3,1
3700,52.43,901,Balaji Nagar,2,0
3803,53,1100,Balaji Nagar,2,1
3963,54.8,750,Balaji Nagar,2,1
4160,55,698,Balaji Nagar,3,1
4213,55,542,Balaji Nagar,2,1
4283,55.79,540,Balaji Nagar,1,0
4388,56,1200,Balaji Nagar,2,0
4903,60,600,Balaji Nagar,1,0
5116,60.16,1070,Balaji Nagar,2,0
5229,62,1332,Balaji Nagar,3,0
5309,62.3,1150,Balaji Nagar,2,1
5386,63,750,Balaji Nagar,2,0
5412,63.86,950,Balaji Nagar,2,1
5749,65,580,Balaji Nagar,1,1
5814,65.5,950,Balaji Nagar,2,1
5849,66,1056,Balaji Nagar,2,0
5867,66,850,Balaji Nagar,2,1
6191,69,450,Balaji Nagar,1,0
6222,69.25,645,Balaji Nagar,1,1
35,14,1110,Baner,2,0
266,25,1320,Baner,2,0
506,29.5,850,Baner,2,1
573,30,730,Baner,1,1
602,30.76,1150,Baner,2,0
709,32.37,1700,Baner,3,1
721,32.5,970,Baner,2,0
829,33.84,1136,Baner,2,0
840,34,1117,Baner,2,0
903,34.97,1700,Baner,3,0
1093,36,670,Baner,1,1
1157,36.58,650,Baner,1,0
1271,38,765,Baner,1,1
1338,38.08,1085,Baner,2,0
1473,39.33,1100,Baner,2,0
1552,40,571,Baner,1,1
1690,40.08,1139,Baner,2,0
1732,40.53,545,Baner,1,0
1864,42,1129,Baner,2,0
1906,42,1300,Baner,3,0
2159,43.9,903,Baner,2,0
2160,43.91,690,Baner,1,1
2257,44.42,650,Baner,1,0
2367,45,1400,Baner,3,0
2439,45,665,Baner,1,0
2484,45,928,Baner,2,1
2558,45.79,1050,Baner,2,0
2588,46,850,Baner,2,0
2635,46,1660,Baner,3,0
2797,47,720,Baner,1,0
3088,49,1020,Baner,2,1
3248,50,1100,Baner,2,0
3306,50,650,Baner,1,0
3339,50,980,Baner,2,0
3373,50,1450,Baner,3,0
3500,51,685,Baner,1,0
3507,51,1500,Baner,3,1
3550,51.83,1850,Baner,4,0
3967,54.9,480,Baner,1,1
4164,55,1050,Baner,2,0
4186,55,950,Baner,2,0
4208,55,864,Baner,2,1
4243,55,1055,Baner,2,0
4269,55.5,1160,Baner,3,0
4357,56,585,Baner,1,0
4368,56,920,Baner,2,1
4473,57,425,Baner,1,0
4490,57,690,Baner,1,0
4524,57,620,Baner,1,0
4621,58,706,Baner,2,1
4657,58,800,Baner,2,0
4732,58.56,984,Baner,2,1
4809,59.01,750,Baner,1,0
4838,59.8,600,Baner,1,0
5086,60,520,Baner,1,0
5553,65,1000,Baner,2,0
5572,65,1350,Baner,3,0
5778,65,1000,Baner,2,0
5801,65.25,2100,Baner,4,0
5810,65.49,761,Baner,2,1
5953,67,672,Baner,1,1
6034,68,577,Baner,2,1
6060,68,362,Baner,1,1
6128,68.48,650,Baner,1,0
6148,69,645,Baner,3,1
6153,69,750,Baner,2,1
6287,70,2000,Baner,4,0
6308,70,1400,Baner,3,1
6338,70,530,Baner,1,0
451,28.29,1141,Baner road,3,1
559,30,1650,Baner road,3,0
659,32,950,Baner road,2,1
665,32,600,Baner road,1,0
763,33,1503,Baner road,2,0
926,35,640,Baner road,1,0
954,35,1166,Baner road,2,1
1103,36,650,Baner road,1,0
1153,36.5,598,Baner road,1,0
1170,36.85,1050,Baner road,2,0
1207,37,550,Baner road,1,0
1244,37.7,740,Baner road,1,0
1374,38.5,645,Baner road,1,1
1430,39,1285,Baner road,3,1
1663,40,1735,Baner road,3,0
1871,42,600,Baner road,1,0
1880,42,635,Baner road,1,0
1912,42,400,Baner road,1,0
2062,43,735,Baner road,1,0
2391,45,550,Baner road,1,0
2529,45.15,1350,Baner road,3,0
2673,46,800,Baner road,2,0
2779,47,650,Baner road,1,0
2913,48,710,Baner road,1,1
2968,48,969,Baner road,3,1
3013,48.02,2500,Baner road,4,0
3119,49,930,Baner road,2,1
3159,49.5,1400,Baner road,2,0
3207,50,2800,Baner road,5,0
3268,50,700,Baner road,1,0
3361,50,1835,Baner road,3,0
3670,52,1020,Baner road,3,1
3755,53,850,Baner road,2,1
3791,53,1220,Baner road,2,1
3836,53.51,2255,Baner road,3,1
3847,53.6,1090,Baner road,2,0
3913,54,1385,Baner road,3,0
4018,55,1065,Baner road,2,0
4050,55,752,Baner road,2,1
4259,55.46,1928,Baner road,3,1
4526,57,513,Baner road,1,1
4629,58,576,Baner road,2,1
4645,58,580,Baner road,1,0
4782,59,759,Baner road,2,1
4879,60,1266,Baner road,2,0
4908,60,670,Baner road,1,0
5061,60,1094,Baner road,3,1
5082,60,970,Baner road,2,0
5172,61,1010,Baner road,3,0
5366,63,1045,Baner road,2,0
5371,63,665,Baner road,1,1
5514,65,1100,Baner road,2,0
5548,65,1000,Baner road,2,0
5593,65,1200,Baner road,2,0
5622,65,972,Baner road,2,1
5627,65,550,Baner road,1,0
5665,65,1261,Baner road,3,1
5683,65,600,Baner road,1,0
6005,67.77,1150,Baner road,2,1
6007,67.98,1375,Baner road,3,0
6151,69,700,Baner road,2,1
6256,70,644,Baner road,1,0
84,16.45,1760,Bhandarkar Road,3,0
114,18,1415,Bhandarkar Road,3,0
346,26,671,Bhandarkar Road,1,1
589,30.35,1050,Bhandarkar Road,2,0
614,31,950,Bhandarkar Road,2,0
1014,35,534,Bhandarkar Road,2,0
1115,36,1600,Bhandarkar Road,3,1
1215,37,980,Bhandarkar Road,2,0
1236,37.5,750,Bhandarkar Road,2,0
1270,38,1470,Bhandarkar Road,3,0
1293,38,610,Bhandarkar Road,2,0
1454,39,685,Bhandarkar Road,1,0
1562,40,650,Bhandarkar Road,1,0
1670,40,3168,Bhandarkar Road,5,0
1990,42.47,1600,Bhandarkar Road,3,0
2001,42.5,985,Bhandarkar Road,2,0
2043,42.9,650,Bhandarkar Road,1,0
2091,43,350,Bhandarkar Road,1,1
2108,43.16,675,Bhandarkar Road,1,1
2140,43.61,3049,Bhandarkar Road,5,1
2148,43.72,1000,Bhandarkar Road,2,0
2173,44,650,Bhandarkar Road,1,0
2188,44,910,Bhandarkar Road,2,1
2229,44,1000,Bhandarkar Road,2,1
2448,45,742,Bhandarkar Road,2,1
2517,45,200,Bhandarkar Road,1,0
2526,45.12,1065,Bhandarkar Road,2,0
2634,46,1053,Bhandarkar Road,2,0
2660,46,1250,Bhandarkar Road,2,1
2850,47.24,650,Bhandarkar Road,1,0
2909,48,1386,Bhandarkar Road,3,1
3028,48.45,1150,Bhandarkar Road,2,0
3296,50,575,Bhandarkar Road,1,0
3335,50,1425,Bhandarkar Road,1,0
3338,50,1080,Bhandarkar Road,2,0
3343,50,1120,Bhandarkar Road,2,0
3351,50,642,Bhandarkar Road,1,1
3419,50,2664,Bhandarkar Road,3,0
3449,50.53,700,Bhandarkar Road,1,0
3466,50.79,1050,Bhandarkar Road,2,0
3557,51.91,400,Bhandarkar Road,1,0
3620,52,750,Bhandarkar Road,2,1
3658,52,945,Bhandarkar Road,2,0
3839,53.55,1215,Bhandarkar Road,2,1
3931,54.2,550,Bhandarkar Road,1,0
3945,54.5,956,Bhandarkar Road,2,0
4166,55,500,Bhandarkar Road,1,0
4171,55,2095,Bhandarkar Road,4,1
4235,55,650,Bhandarkar Road,1,1
4267,55.5,610,Bhandarkar Road,1,1
4314,56,585,Bhandarkar Road,1,0
4443,56.57,830,Bhandarkar Road,2,1
4508,57,1200,Bhandarkar Road,3,0
4584,58,645,Bhandarkar Road,3,1
4697,58,1786,Bhandarkar Road,3,0
4700,58,405,Bhandarkar Road,1,1
4802,59,723,Bhandarkar Road,2,1
4893,60,607,Bhandarkar Road,1,1
4947,60,935,Bhandarkar Road,2,1
5000,60,1200,Bhandarkar Road,3,0
5106,60,560,Bhandarkar Road,1,0
5204,62,1600,Bhandarkar Road,3,1
5209,62,1545,Bhandarkar Road,2,0
5223,62,530,Bhandarkar Road,1,0
5401,63.25,1440,Bhandarkar Road,2,1
5431,64,1115,Bhandarkar Road,2,0
5453,64.08,1052,Bhandarkar Road,2,0
5512,65,774,Bhandarkar Road,1,1
5813,65.5,1059,Bhandarkar Road,2,1
5815,65.58,420,Bhandarkar Road,1,1
5904,66.85,960,Bhandarkar Road,2,0
5929,67,580,Bhandarkar Road,1,0
6015,68,680,Bhandarkar Road,2,1
6056,68,1108,Bhandarkar Road,3,1
6108,68,1450,Bhandarkar Road,2,0
6235,69.6,660,Bhandarkar Road,2,0
6271,70,768,Bhandarkar Road,2,0
6322,70,610,Bhandarkar Road,1,1
27,13.31,1025,Bhavani Peth,2,0
67,16,670,Bhavani Peth,1,0
331,25.88,625,Bhavani Peth,1,0
357,26,600,Bhavani Peth,1,1
402,27,1550,Bhavani Peth,3,0
579,30.22,1050,Bhavani Peth,2,0
605,30.84,1100,Bhavani Peth,3,0
710,32.37,1130,Bhavani Peth,2,1
826,33.75,1251,Bhavani Peth,2,0
908,35,1605,Bhavani Peth,3,0
984,35,1250,Bhavani Peth,3,0
1013,35,600,Bhavani Peth,1,0
1018,35,902,Bhavani Peth,2,0
1054,35.47,400,Bhavani Peth,1,0
1171,36.85,1060,Bhavani Peth,2,0
1318,38,545,Bhavani Peth,1,1
1379,38.55,791,Bhavani Peth,2,0
1429,39,1055,Bhavani Peth,2,1
1784,41,590,Bhavani Peth,2,0
1832,41.39,1140,Bhavani Peth,3,1
1884,42,1245,Bhavani Peth,2,0
2028,42.8,980,Bhavani Peth,2,1
2057,43,954,Bhavani Peth,2,0
2185,44,690,Bhavani Peth,1,0
2218,44,1350,Bhavani Peth,2,1
2403,45,1325,Bhavani Peth,3,0
2539,45.5,1440,Bhavani Peth,3,0
2711,46.17,650,Bhavani Peth,1,0
2716,46.29,450,Bhavani Peth,1,0
2728,46.5,645,Bhavani Peth,1,0
2773,47,433,Bhavani Peth,1,1
2874,47.59,1056,Bhavani Peth,3,1
2963,48,605,Bhavani Peth,1,0
3068,48.95,1017,Bhavani Peth,2,1
3148,49.39,1300,Bhavani Peth,2,1
3188,49.9,1418,Bhavani Peth,4,1
3261,50,1150,Bhavani Peth,2,0
3454,50.66,1270,Bhavani Peth,2,0
3533,51.5,920,Bhavani Peth,2,1
3548,51.8,575,Bhavani Peth,1,0
3637,52,1050,Bhavani Peth,2,1
3776,53,1000,Bhavani Peth,2,0
3804,53,700,Bhavani Peth,1,0
3819,53.33,1100,Bhavani Peth,2,0
3845,53.58,1800,Bhavani Peth,3,1
4290,56,1160,Bhavani Peth,3,0
4322,56,2100,Bhavani Peth,3,0
4323,56,700,Bhavani Peth,1,0
4519,57,670,Bhavani Peth,1,0
4556,57.39,324,Bhavani Peth,1,0
4715,58.17,565,Bhavani Peth,1,1
4747,59,675,Bhavani Peth,1,1
4886,60,709,Bhavani Peth,1,0
4907,60,850,Bhavani Peth,2,0
5124,60.6,960,Bhavani Peth,2,1
5332,62.8,1200,Bhavani Peth,2,0
5338,62.93,1080,Bhavani Peth,2,0
5390,63,727,Bhavani Peth,1,0
5443,64,1005,Bhavani Peth,2,1
5642,65,725,Bhavani Peth,1,1
5715,65,710,Bhavani Peth,2,0
5791,65,407,Bhavani Peth,1,1
5825,65.99,990,Bhavani Peth,2,0
5974,67.15,768,Bhavani Peth,1,0
6001,67.76,1250,Bhavani Peth,3,1
6066,68,550,Bhavani Peth,1,1
6171,69,1281,Bhavani Peth,2,0
6178,69,1026,Bhavani Peth,2,0
6273,70,650,Bhavani Peth,1,0
6300,70,650,Bhavani Peth,2,0
6310,70,1100,Bhavani Peth,2,1
163,20,1630,Bibvewadi,3,0
253,24.86,1457,Bibvewadi,3,1
432,28,495,Bibvewadi,1,1
438,28,1185,Bibvewadi,3,0
703,32,3205,Bibvewadi,4,1
711,32.49,1810,Bibvewadi,3,1
1051,35.4,530,Bibvewadi,1,1
1300,38,540,Bibvewadi,1,1
1370,38.5,500,Bibvewadi,1,0
1603,40,723,Bibvewadi,1,0
1640,40,1100,Bibvewadi,2,0
1677,40,1400,Bibvewadi,3,0
1744,40.6,675,Bibvewadi,1,0
1745,40.6,1050,Bibvewadi,2,0
1750,40.63,675,Bibvewadi,1,0
1760,40.9,640,Bibvewadi,1,0
2241,44,640,Bibvewadi,1,0
2248,44.24,693,Bibvewadi,1,1
2337,45,1000,Bibvewadi,2,0
2444,45,980,Bibvewadi,2,0
2498,45,1200,Bibvewadi,3,0
2803,47,680,Bibvewadi,1,0
2877,47.6,749,Bibvewadi,1,1
3089,49,690,Bibvewadi,1,1
3179,49.85,768,Bibvewadi,2,1
3231,50,950,Bibvewadi,2,1
3233,50,1900,Bibvewadi,3,0
3391,50,750,Bibvewadi,1,1
3414,50,615,Bibvewadi,1,0
3515,51,876,Bibvewadi,2,1
3656,52,650,Bibvewadi,2,0
3777,53,1200,Bibvewadi,2,0
4019,55,750,Bibvewadi,1,0
4020,55,1065,Bibvewadi,2,0
4088,55,1172,Bibvewadi,2,1
4099,55,2495,Bibvewadi,4,1
4212,55,534,Bibvewadi,2,1
4262,55.47,1380,Bibvewadi,3,0
4266,55.5,930,Bibvewadi,2,0
4396,56,774,Bibvewadi,2,0
4611,58,1200,Bibvewadi,3,0
4619,58,750,Bibvewadi,1,0
4698,58,1210,Bibvewadi,2,1
4707,58,534,Bibvewadi,1,1
5021,60,600,Bibvewadi,1,0
5280,62,1197,Bibvewadi,3,1
5350,63,640,Bibvewadi,1,0
5428,64,1000,Bibvewadi,2,0
5648,65,1100,Bibvewadi,2,1
5684,65,500,Bibvewadi,1,0
5718,65,594,Bibvewadi,1,0
5723,65,550,Bibvewadi,1,0
5931,67,300,Bibvewadi,1,0
6126,68.4,670,Bibvewadi,2,0
6208,69,980,Bibvewadi,2,1
6212,69,250,Bibvewadi,1,0
6233,69.5,1240,Bibvewadi,2,0
6246,69.85,475,Bibvewadi,1,0
120,18,646,Bopodi,1,0
226,23,3585,Bopodi,4,1
318,25.49,730,Bopodi,1,0
508,29.5,802,Bopodi,2,1
520,29.97,534,Bopodi,1,1
568,30,1245,Bopodi,2,0
690,32,1140,Bopodi,2,0
695,32,1725,Bopodi,3,1
905,34.99,1150,Bopodi,2,0
1220,37.01,700,Bopodi,1,0
1306,38,585,Bopodi,1,1
1344,38.12,560,Bopodi,1,0
